department,salary,age,is_active
IT,9648642,31,True
Finance,11454948,34,True
Operations,10707080,27,True
IT,10083088,30,True
HR,1651425,36,True
IT,2380836,34,True
Finance,16476286,36,False
Finance,13610727,33,False
Finance,15671566,36,False
IT,8120291,34,True
IT,4308569,30,True
Finance,9356550,27,False
IT,5523882,32,True
HR,14399585,25,True
Marketing,7975455,32,True
Operations,10644733,36,True
Marketing,3504876,28,True
IT,9036222,25,False
Marketing,3799726,36,True
Finance,5203822,36,False
Finance,14454388,36,False
HR,15923526,29,True
IT,6880221,25,True
Finance,14766191,35,True
Finance,1727683,31,True
IT,9823693,36,False
IT,24158,34,True
Marketing,15539367,26,True
Finance,13452292,33,True
IT,1022473,27,False
HR,4843530,36,True
Finance,10421933,31,True
HR,7678748,29,True
Operations,6327066,34,False
HR,16279904,27,True
Finance,16112238,36,False
Finance,6621408,36,False
Finance,6614310,35,False
HR,7569606,25,True
IT,5640367,32,True
Marketing,13194941,33,True
HR,1489634,36,False
HR,7302020,25,True
HR,8753521,25,True
Marketing,2337763,27,False
HR,11373328,36,False
IT,1382235,36,False
IT,3763914,36,True
IT,6163822,29,True
Marketing,12085112,36,True
Finance,7299959,36,False
Finance,12308007,35,False
Operations,530027,29,False
IT,1798632,36,True
Operations,6258916,29,True
IT,5159756,36,False
Finance,9324354,25,True
HR,5745416,36,True
Finance,1100516,35,True
IT,5521750,36,True
IT,14651730,36,True
Finance,1674239,36,False
Finance,11072430,36,True
HR,22834,31,True
Operations,4449606,29,True
Finance,15080855,25,True
HR,5215734,34,False
IT,4500805,33,True
Marketing,5793517,28,True
Finance,10142901,33,True
Finance,5673662,36,True
Finance,13189423,26,True
Operations,7907951,36,True
Finance,14441902,36,False
Operations,438284,26,True
IT,8976269,35,True
Marketing,13582755,34,False
IT,7376840,36,True
HR,3981222,36,True
Finance,8771932,27,False
HR,7526755,33,True
Marketing,5988853,33,False
Marketing,14921959,33,True
HR,8833386,36,True
Marketing,11838881,29,True
Marketing,7440181,32,True
Operations,13555310,36,False
IT,1363769,32,False
Marketing,12915924,36,True
Marketing,11699120,25,True
Operations,10072506,31,True
Finance,16849,36,True
Finance,895933,36,False
Finance,14654492,35,False
Marketing,13331723,36,True
Finance,7301476,27,False
Marketing,4988781,36,True
Marketing,10107992,26,True
Operations,11057156,30,True
IT,5468827,34,True
